NAME,Well name,ST_DESC,classification,HC,PRE_RESERVOIR,PRE_CLOSURE,PRE_SEAL,PRE_CHARGE,PRE_TOTAL POS,POST_RESERVOIR,POST_CLOSURE,POST_SEAL,POST_CHARGE,Drilling Op,Unknown,SUCCESS_OilGas,Well name,,Yes,No
Abu Seyal,ABU SEYAL-1,Unayzah B/C Reservoir,PROSPECT,Oil,0.6,0.7,0.3,1,0.126,,,1,,,,,ABU SEYAL-1,,,
Abu Tarfa,ABU TARFA-1,Unayzah B/C Reservoir,PROSPECT,Oil,0.8,0.6,0.5,0.9,0.216,,,1,1,,,,ABU TARFA-1,,,
Jurayd Deep 1,JURAYD-5,Unayzah Reservoir,PROSPECT,Gas,0.2,0.8,0.8,0.9,0.1152,,,,,,,1,JURAYD-5,,,
Umm Sudayrah,UMM SUDAYRAH-1,Unayzah Reservoir,PROSPECT,Gas,0.4,0.8,0.7,0.4,0.0896,,,,,,1,,UMM SUDAYRAH-1,,,
Mazalij (29),MAZALIJ-29,Unayzah Reservoir,DELINEATION,Gas,0.7,0.8,0.6,0.9,0.3024,1,,,,,,,MAZALIJ-29,,,
Fadhili (18),FADHILI-18,Upper Fadhili Reservoir,DELINEATION,Oil,0.5,0.9,0.2,0.8,0.072,,1,,,,,,FADHILI-18,,,
Niqirah,NIQIRAH-1,Upper Fadhili Reservoir,PROSPECT,Oil,0.6,0.8,0.9,0.7,0.3024,,1,,,,,,NIQIRAH-1,,,
Niyashin,NIYASHIN-1,Upper Fadhili Reservoir,PROSPECT,Oil,0.8,0.6,0.9,0.7,0.3024,1,,,,,,,NIYASHIN-1,,,
Rimthan (9),RIMTHAN-9,Upper Fadhili Reservoir,DELINEATION,Oil,0.7,0.9,0.5,0.7,0.2205,,,,,,,1,RIMTHAN-9,,,
Rumhayn,RUMHAYN-1,Upper Fadhili Reservoir,PROSPECT,Oil,0.8,0.9,0.5,0.8,0.288,,1,,,,,,RUMHAYN-1,,,
Fadhili (18),FADHILI-18,Upper Hanifa Reservoir,DELINEATION,Oil,0.6,0.2,0.9,0.8,0.0864,,1,,,,,,FADHILI-18,,,
Hazem,HAZEM-1,Upper Hanifa Reservoir,PROSPECT,Oil,0.5,0.8,0.3,0.9,0.108,1,,,,,,,HAZEM-1,,,
Mazalij Hanifa (1005),MAZALIJ-1005,Upper Hanifa Reservoir,PROSPECT,Oil,0.6,0.9,1,1,0.54,,,,,,,1,MAZALIJ-1005,,,
Niyashin,NIYASHIN-1,Upper Hanifa Reservoir,PROSPECT,Oil,0.7,0.7,0.9,0.7,0.3087,,1,1,,,,,NIYASHIN-1,,,
Rumhayn,RUMHAYN-1,Upper Hanifa Reservoir,PROSPECT,Oil,0.8,0.9,0.8,0.8,0.4608,,1,,,,,,RUMHAYN-1,,,
